,experiment,hour,device_make,platform_os,browser,yes
520,exposed,13,Google,101,6,1.0
521,exposed,2,Google,101,6,1.0
522,control,1,LG,156,15,1.0
523,control,12,Apple,101,15,0.0
524,exposed,2,Google,101,6,1.0
525,exposed,17,Samsung,101,6,1.0
526,exposed,15,Apple,174,15,0.0
527,exposed,20,Google,101,6,1.0
528,control,6,Apple,101,15,0.0
529,exposed,7,LG,156,15,1.0
530,control,21,Apple,101,6,1.0
531,control,14,Samsung,162,6,1.0
532,exposed,12,Google,101,6,1.0
533,exposed,3,Samsung,101,6,1.0
534,control,1,Apple,175,7,0.0
535,control,5,Apple,101,15,1.0
536,control,6,Apple,101,7,0.0
537,control,3,Apple,101,7,0.0
538,exposed,2,Samsung,162,6,1.0
539,exposed,14,Samsung,156,6,0.0
540,exposed,10,Apple,101,7,0.0
541,exposed,0,Samsung,101,6,0.0
542,exposed,14,Samsung,101,6,1.0
543,control,12,Apple,101,15,0.0
544,exposed,15,Google,101,6,1.0
545,control,10,Apple,101,7,0.0
546,control,16,Apple,101,15,0.0
547,control,19,Apple,101,7,0.0
548,control,5,Apple,178,7,0.0
549,control,4,Apple,101,7,1.0
550,control,10,Apple,101,6,0.0
551,control,0,Apple,101,7,0.0
552,exposed,0,Doogee,136,6,0.0
553,control,9,Samsung,139,15,1.0
554,exposed,16,Samsung,101,15,1.0
555,exposed,10,Samsung,101,6,1.0
556,exposed,14,Google,101,6,1.0
557,control,18,Apple,101,7,1.0
558,control,12,Apple,171,15,1.0
559,control,19,Apple,101,6,0.0
560,exposed,16,Samsung,101,6,1.0
561,exposed,11,Samsung,155,15,0.0
562,control,13,Apple,101,6,0.0
563,exposed,6,Kyocera,156,15,1.0
564,exposed,1,Samsung,156,15,0.0
565,control,23,Apple,101,7,0.0
566,exposed,2,Google,101,6,1.0
567,control,20,Apple,178,7,0.0
568,exposed,2,Samsung,101,15,0.0
569,exposed,0,Samsung,156,15,1.0
570,exposed,13,Google,101,6,1.0
571,control,16,Apple,101,7,0.0
572,exposed,3,Google,101,6,1.0
573,control,12,Apple,101,15,0.0
574,exposed,0,Apple,101,7,0.0
575,exposed,6,Samsung,101,6,1.0
576,exposed,23,Apple,101,7,0.0
577,control,3,Apple,101,6,0.0
578,control,3,Apple,101,15,0.0
579,exposed,21,Samsung,101,15,1.0
580,exposed,16,Samsung,101,6,1.0
581,control,19,Apple,178,7,0.0
582,control,4,Apple,101,15,0.0
583,control,2,Samsung,154,6,0.0
584,exposed,18,Samsung,162,6,1.0
585,exposed,22,Samsung,101,6,1.0
586,control,16,Apple,101,15,0.0
587,control,11,Motorola,145,6,0.0
588,control,12,Apple,101,7,0.0
589,exposed,16,Motorola,156,6,1.0
590,exposed,20,Samsung,101,6,1.0
591,exposed,0,Samsung,179,15,0.0
592,control,4,Apple,101,15,1.0
593,control,1,Apple,101,15,0.0
594,exposed,17,Samsung,101,6,1.0
595,exposed,23,Apple,178,7,0.0
596,exposed,23,Apple,175,7,0.0
597,exposed,2,Samsung,101,15,1.0
598,control,3,Apple,101,6,0.0
599,control,1,Apple,101,15,0.0
600,exposed,0,Google,101,6,1.0
601,exposed,21,Samsung,101,6,1.0
602,exposed,21,Apple,101,7,1.0
603,exposed,8,Samsung,101,6,0.0
604,exposed,22,Samsung,101,6,0.0
605,exposed,3,Google,101,6,0.0
606,control,0,Apple,178,15,0.0
607,exposed,0,Samsung,101,6,1.0
608,exposed,18,Samsung,101,6,1.0
609,control,22,Apple,178,7,0.0
610,exposed,18,Samsung,101,6,1.0
611,exposed,7,Samsung,101,6,1.0
612,control,19,Samsung,162,6,0.0
613,control,16,Apple,174,7,1.0
614,exposed,19,Google,101,6,1.0
615,exposed,23,Apple,101,15,0.0
616,exposed,1,Samsung,101,6,1.0
617,exposed,3,Samsung,101,6,0.0
618,control,3,Apple,178,7,0.0
619,exposed,19,Samsung,101,6,1.0
620,exposed,17,Google,101,6,1.0
621,exposed,19,Samsung,101,6,1.0
622,control,8,Samsung,155,6,1.0
623,exposed,6,Apple,101,7,0.0
624,exposed,0,Samsung,101,6,0.0
625,exposed,19,Apple,173,7,1.0
626,exposed,6,Samsung,101,6,0.0
627,exposed,20,Google,101,6,1.0
628,control,7,Apple,178,7,1.0
629,control,1,Apple,101,7,0.0
630,exposed,2,Samsung,101,15,1.0
631,exposed,23,Apple,175,7,0.0
632,exposed,9,Apple,101,15,1.0
633,exposed,4,Apple,101,15,0.0
634,control,15,Apple,101,7,0.0
635,control,4,Apple,101,7,0.0
636,exposed,21,LG,162,15,1.0
637,exposed,9,Samsung,101,6,1.0
638,control,0,Apple,101,7,0.0
639,exposed,4,Samsung,101,6,1.0
640,exposed,16,Samsung,179,15,1.0
641,control,6,Apple,101,7,1.0
642,exposed,15,Samsung,101,6,1.0
643,exposed,4,Google,101,6,1.0
644,control,9,Apple,101,7,0.0
645,exposed,20,Google,101,6,1.0
646,control,7,Apple,101,15,0.0
647,control,4,Apple,101,7,0.0
648,exposed,15,Samsung,101,6,1.0
649,exposed,23,Apple,101,7,1.0
650,control,17,Apple,178,15,0.0
651,exposed,13,Google,101,6,1.0
652,control,3,Apple,101,7,0.0
653,exposed,16,Samsung,156,15,1.0
654,control,8,Apple,101,7,0.0
655,control,4,Apple,178,15,0.0
656,exposed,15,Google,162,6,1.0
657,control,1,Apple,101,15,0.0
658,exposed,13,Samsung,101,15,0.0
659,control,15,Samsung,156,6,0.0
660,exposed,13,Samsung,101,6,0.0
661,exposed,23,Apple,101,7,0.0
662,exposed,14,Google,101,6,1.0
663,exposed,17,Samsung,155,6,1.0
664,control,4,Samsung,162,6,0.0
665,exposed,14,Google,101,6,1.0
666,exposed,16,Samsung,101,6,0.0
667,exposed,2,Google,101,6,1.0
668,exposed,11,Samsung,101,6,1.0
669,exposed,9,Motorola,145,6,1.0
670,exposed,2,Samsung,101,6,1.0
